Instance,Miliseconds,Opt, optCalc,Capacity
0,9,2096,2096,995
1,11,1901,1901,997
2,9,1944,1944,970
3,7,1872,1872,976
4,17,2351,2351,1361
5,14,2845,2845,1370
6,10,2951,2951,1765
7,13,3527,3527,2030
8,8,3357,3357,2152
9,10,3947,3947,2745
10,9,4099,4099,2397
11,11,4977,4977,3676
12,8,4900,4900,3194
13,17,5465,5465,3665
14,9,5829,5829,4223
15,12,6117,6117,4316
16,10,6081,6081,4179
17,8,6691,6691,4589
18,8,6697,6697,4389
19,20,7885,7885,5782
20,9,7327,7327,5030
21,8,7441,7441,5241
22,9,7995,7995,5691
23,8,7970,7970,5613
24,15,8610,8610,6312
25,12,8541,8541,5939
26,12,8386,8386,5883
27,8,9261,9261,6619
28,20,8696,8696,5990
29,11,10647,10647,8045
30,10,11048,11048,8349
31,13,11237,11237,8630
32,15,10032,10032,7341
33,8,10701,10701,7894
34,8,11183,11183,8186
35,9,12254,12254,9462
36,8,12833,12833,9829
37,10,11392,11392,8297
38,8,12086,12086,8990
39,8,12362,12362,9191
40,8,12758,12758,9656
41,9,14068,14068,10962
42,8,14397,14397,11194
43,10,15884,15884,12882
44,8,14382,14382,11181
45,8,14141,14141,10940
46,9,15424,15424,12215
47,7,13708,13708,10204
48,19,16626,16626,13322
49,11,13484,13484,9771
